,CATEGORY,SUBCAT,SAMPLE,ORGAN FRACTION,C,H,O,C.1,H.1,O.1,CELL,HCELL,LIGH,LIGO,LIGC,TRIL,CTANN,ignition_delay,transit_distance
383,WOOD PLANTS,Hardwood,Cocoa,Hull,49.21,5.34,33.87,55.66,6.04,38.3,0.3249,0.1435,0.2317,0.0,0.247,0.0177,0.0352,0.17376858896686959,0.028561474374664098
384,WOOD PLANTS,Hardwood,Cocoa,Hull,48.23,5.23,33.19,55.66,6.04,38.3,0.3249,0.1435,0.2317,0.0,0.247,0.0177,0.0352,0.17376858896686959,0.028561474374664098
385,WOOD PLANTS,Hardwood,Walnut,Hull,49.00,5.70,34.70,54.81,6.38,38.81,0.2572,0.1386,0.5643,0.0,0.0203,0.0195,0.0,0.13176201645654037,0.02306523244130346
386,WOOD PLANTS,Hardwood,Walnut,Hull and blows,53.52,6.52,35.37,56.1,6.84,37.07,0.3066,0.1345,0.3666,0.0084,0.0555,0.1284,0.0,0.12500316049518198,0.016743920834031072
387,WOOD PLANTS,Hardwood,Olive,Kernel,52.70,5.90,38.04,54.54,6.1,39.36,0.3686,0.1685,0.1802,0.0,0.2256,0.0273,0.0299,0.20377176951095263,0.03371734376604025
388,WOOD PLANTS,Hardwood,Palm,Kernel (hexane extracted),47.28,6.25,38.82,51.2,6.76,42.04,0.3906,0.3083,0.0272,0.1282,0.0365,0.1092,0.0,0.1328833998057229,0.019292956613664123
389,WOOD PLANTS,Hardwood,Poplar,Leaves,39.80,5.38,35.42,49.38,6.67,43.95,0.5674,0.249,0.0687,0.001,0.0103,0.1036,0.0,0.17396986864571845,0.02767527772671622
390,WOOD PLANTS,Hardwood,Cherry tree,Leaves,46.93,5.97,39.29,50.91,6.48,42.62,0.4551,0.1632,0.0087,0.1728,0.0903,0.0058,0.1041,0.15379264825550562,0.02803032992635229
391,WOOD PLANTS,Hardwood,Palm,Leaves,47.98,5.26,36.61,53.4,5.85,40.75,0.4359,0.1706,0.0393,0.0,0.2543,0.0137,0.0862,0.2655025198323604,0.04379314780102218
392,WOOD PLANTS,Hardwood,Maple,Leaves,49.88,6.09,43.26,50.27,6.14,43.6,0.4050,0.3018,0.0109,0.1571,0.028,0.0729,0.0241,0.1402330356327408,0.022606453062460088
393,WOOD PLANTS,Unidentified,Unidentified,Leaves (Withered),29.38,3.24,23.60,52.26,5.77,41.97,0.4470,0.1659,0.0184,0.0759,0.1827,0.0091,0.101,0.2107214629967023,0.036217740507912335
394,WOOD PLANTS,Softwood,Beech,Log,-,-,-,48.4,6.2,45.4,0.5262,0.2528,0.0522,0.117,0.0,0.0374,0.0143,0.16753614336835157,0.032758080883816106
395,WOOD PLANTS,Hardwood,Robinia,Log,-,-,-,49.2,5.9,44.9,0.4862,0.2099,0.039,0.1994,0.0,0.0275,0.038,0.14613986512855875,0.028155973024260917
396,WOOD PLANTS,Hardwood,Oak,Log,-,-,-,49.5,6.0,44.5,0.4775,0.2037,0.0396,0.2007,0.0093,0.0268,0.0423,0.1378783134585438,0.026208740729089148
397,WOOD PLANTS,Hardwood,Cherry tree,Log,-,-,-,49.7,6.0,44.3,0.4726,0.2017,0.0418,0.1967,0.0167,0.0274,0.0432,0.14342741192223873,0.027059679661342866
398,WOOD PLANTS,Hardwood,Apricot,Stone,51.39,6.29,41.82,51.65,6.32,42.03,0.4452,0.1748,0.0331,0.1228,0.1296,0.0171,0.0773,0.1795817242474209,0.03172206569329965
399,WOOD PLANTS,Softwood,Spruce,Log,-,-,-,50.1,6.0,43.9,0.4636,0.198,0.0461,0.1864,0.033,0.0283,0.0448,0.13955025733562387,0.02593655112625777
